ISBN,Title,Quantity,Description,Authors,Publisher,Published,Pages,Language,Location,Date,,Notes?
9781470421960,Expansion in Finite Simple Groups of Lie Type,1,"Expander graphs are an important tool in theoretical computer science, geometric group theory, probability, and number theory. Furthermore, the techniques used to rigorously establish the expansion property of a graph draw from such diverse areas of mathematics as representation theory, algebraic geometry, and arithmetic combinatorics. This text focuses on the latter topic in the important case of Cayley graphs on finite groups of Lie type, developing tools such as Kazhdan's property (T), quasirandomness, product estimates, escape from subvarieties, and the Balog-Szemerédi-Gowers lemma. Applications to the affine sieve of Bourgain, Gamburd, and Sarnak are also given. The material is largely self-contained, with additional sections on the general theory of expanders, spectral theory, Lie theory, and the Lang-Weil bound, as well as numerous exercises and other optional material.",Terence Tao,American Mathematical Soc.,2015-04-16,303,English,Unknown,2024-06-21T14:51:07-06:00,,
9780486453569,Basic Abstract Algebra,1,"Geared toward upper-level undergraduates and graduate students, this text surveys fundamental algebraic structures and maps between these structures. Its techniques are used in many areas of mathematics, with applications to physics, engineering, and computer science as well. Author Robert B. Ash, a Professor of Mathematics at the University of Illinois, focuses on intuitive thinking. He also conveys the intrinsic beauty of abstract algebra while keeping the proofs as brief and clear as possible. The early chapters provide students with background by investigating the basic properties of groups, rings, fields, and modules. Later chapters examine the relations between groups and sets, the fundamental theorem of Galois theory, and the results and methods of abstract algebra in terms of algebraic number theory, algebraic geometry, noncommutative algebra, and homological algebra, including categories and functors. An extensive supplement to the text delves much further into homological algebra than most introductory texts, offering applications-oriented results. Solutions to all problems appear in the text.",Robert B. Ash,Courier Corporation,2007-01-01,434,English,Unknown,2024-06-21T14:55:48-06:00,,
9788187169871,Introduction to Commutative Algebra,1,,Ian G. Macdonald,Sarat Book Distributors,2007-01-01,144,English,Unknown,2024-06-21T14:55:58-06:00,,
9780521388368,Oligomorphic Permutation Groups,1,"The study of permutations groups has always been closely associated with that of highly symmetric structures. The objects considered here are countably infinite, but have only finitely many different substructures of any given finite size. This book discusses such structures, their substructures and their automorphism groups using a wide range of techniques.",Peter J. Cameron,Cambridge University Press,1990-06-29,172,English,Unknown,2024-06-21T14:56:07-06:00,,
9781575865744,Generalized Galois Logics,1,"Nonclassical logics have played an increasing role in recent years in disciplines ranging from mathematics and computer science to linguistics and philosophy. Generalized Galois Logics develops a uniform framework of relational semantics to mediate between logical calculi and their semantics through algebra. This volume addresses normal modal logics such as K and S5, and substructural logics, including relevance logics, linear logic, and Lambek calculi. The authors also treat less-familiar and new logical systems with equal deftness.","Katalin Bimbó, J. Michael Dunn",Center for the Study of Language and Information Publica Tion,2008-01-01,400,English,Unknown,2024-06-21T14:56:16-06:00,,
9780387952277,Higher-Dimensional Algebraic Geometry,1,"The classification theory of algebraic varieties is the focus of this book. This very active area of research is still developing, but an amazing quantity of knowledge has accumulated over the past twenty years. The authors goal is to provide an easily accessible introduction to the subject. The book starts with preparatory and standard definitions and results, then moves on to discuss various aspects of the geometry of smooth projective varieties with many rational curves, and finishes in taking the first steps towards Moris minimal model program of classification of algebraic varieties by proving the cone and contraction theorems. The book is well-organized and the author has kept the number of concepts that are used but not proved to a minimum to provide a mostly self-contained introduction.",Olivier Debarre,Springer Science & Business Media,2001-06-26,252,English,Unknown,2024-06-21T14:56:28-06:00,,
9781846280405,Introduction to Lie Algebras,1,"Lie groups and Lie algebras have become essential to many parts of mathematics and theoretical physics, with Lie algebras a central object of interest in their own right. This book provides an elementary introduction to Lie algebras based on a lecture course given to fourth-year undergraduates. The only prerequisite is some linear algebra and an appendix summarizes the main facts that are needed. The treatment is kept as simple as possible with no attempt at full generality. Numerous worked examples and exercises are provided to test understanding, along with more demanding problems, several of which have solutions. Introduction to Lie Algebras covers the core material required for almost all other work in Lie theory and provides a self-study guide suitable for undergraduate students in their final year and graduate students and researchers in mathematics and theoretical physics.","K. Erdmann, Mark J. Wildon",Springer Science & Business Media,2011-09-07,268,English,Unknown,2024-06-21T14:56:37-06:00,,
9781107653610,Representations of Lie Algebras,1,A fresh undergraduate-accessible approach to Lie algebras and their representations.,Anthony Henderson,Cambridge University Press,2012-08-16,167,English,Unknown,2024-06-21T14:56:47-06:00,,
9780486462820,Abstract Lie Algebras,1,"Solid but concise, this account emphasizes Lie algebra's simplicity of theory, offering new approaches to major theorems and extensive treatment of Cartan and related Lie subalgebras over arbitrary fields. 1972 edition.",David J. Winter,Courier Corporation,2008-01-01,162,English,Unknown,2024-06-21T14:57:14-06:00,,
9780387978390,Algebra,1,"First year graduate algebra text. The choice of topics is guided by the underlying theme of modules as a basic unifying concept in mathematics. Beginning with standard topics in group and ring theory, the authors then develop basic module theory and its use in investigating bilinear, sesquilinear, and quadratic forms. Annotation copyrighted by Book News, Inc., Portland, OR","William A. Adkins, Steven H. Weintraub",Springer Science & Business Media,1992-01-01,548,English,Unknown,2024-06-21T14:58:38-06:00,,
0-471-80075-9,Introduction to Discrete Structures,1,"Presents a serious, mathematical treatment of discrete structures appropriate for beginning computing students and ties the discrete math topics to concrete computer science examples. Covers formal systems, functions and relations, Boolean algebras, counting and cardinality, graphs and trees, introduction to formal languages, and computability theory.","Shari Lawrence Pfleeger, David W. Straight",,1985-05-23,388,English,Unknown,2024-06-21T14:59:04-06:00,,
39309782X,,1,,,,,,,Unknown,2024-06-21T15:00:35-06:00,,
00-026288,,1,,,,,,,Unknown,2024-06-21T15:06:04-06:00,,
0-412-23900-0,"Graphs, Surfaces and Homology",1,"viii homology groups. A weaker result, sufficient nevertheless for our purposes, is proved in Chapter 5, where the reader will also find some discussion of the need for a more powerful in variance theorem and a summary of the proof of such a theorem. Secondly the emphasis in this book is on low-dimensional examples the graphs and surfaces of the title since it is there that geometrical intuition has its roots. The goal of the book is the investigation in Chapter 9 of the properties of graphs in surfaces; some of the problems studied there are mentioned briefly in the Introduction, which contains an in formal survey of the material of the book. Many of the results of Chapter 9 do indeed generalize to higher dimensions (and the general machinery of simplicial homology theory is avai1able from earlier chapters) but I have confined myself to one example, namely the theorem that non-orientable closed surfaces do not embed in three-dimensional space. One of the principal results of Chapter 9, a version of Lefschetz duality, certainly generalizes, but for an effective presentation such a gener- ization needs cohomology theory. Apart from a brief mention in connexion with Kirchhoff's laws for an electrical network I do not use any cohomology here. Thirdly there are a number of digressions, whose purpose is rather to illuminate the central argument from a slight dis tance, than to contribute materially to its exposition.",P. Giblin,Springer,1981-10-29,356,English,Unknown,2024-06-21T15:07:34-06:00,,
9781450257855,Instructor's Manual to Euclidean Geometry,,"This book is a companion To The textbook Euclidean Geometry: a First Course by Mark Solomonovich. The main part of the manual contains 70 additional detailed solutions that can be used for tests and home assignments. Also included are some comments and tests with solutions To The first two chapters, which may facilitate the reading and getting accustomed To The language of the subject. Lastly, it contains lists of all the axioms, On which the discussion is based, As well as all the theorems derived in the textbook and other major results, such as basic constructions.",Mark Solomonovich,,2010-10-01,104,English,Unknown,2024-06-21T15:08:05-06:00,,
9783540566236,"Quantum Groups, Quantum Categories and Quantum Field Theory",1,"This book reviews recent results on low-dimensional quantum field theories and their connection with quantum group theory and the theory of braided, balanced tensor categories. It presents detailed, mathematically precise introductions to these subjects and then continues with new results. Among the main results are a detailed analysis of the representation theory of U (sl ), for q a primitive root of unity, and a semi-simple quotient thereof, a classfication of braided tensor categories generated by an object of q-dimension less than two, and an application of these results to the theory of sectors in algebraic quantum field theory. This clarifies the notion of ""quantized symmetries"" in quantum fieldtheory. The reader is expected to be familiar with basic notions and resultsin algebra. The book is intended for research mathematicians, mathematical physicists and graduate students.","Jürg Fröhlich, Thomas Kerler",Lecture Notes in Mathematics,1993-05-12,448,English,Unknown,2024-06-21T15:08:21-06:00,,
9780262650403,A Course in Game Theory,1,"A Course in Game Theory presents the main ideas of game theory at a level suitable for graduate students and advanced undergraduates, emphasizing the theory's foundations and interpretations of its basic concepts. The authors provide precise definitions and full proofs of results, sacrificing generalities and limiting the scope of the material in order to do so. The text is organized in four parts: strategic games, extensive games with perfect information, extensive games with imperfect information, and coalitional games. It includes over 100 exercises.","Martin J. Osborne, Ariel Rubinstein",MIT Press,1994-07-12,369,English,Unknown,2024-06-21T15:09:47-06:00,,
0-13-252875-4,Elementary Applied Partial Differential Equations,1,"This text is designed for engineers, scientists, and mathematicians with a background in elementary ordinary differential equations and calculus.",Richard Haberman,Prentice Hall,1987-01-01,568,English,Unknown,2024-06-21T15:10:13-06:00,,
9780471170556,Elementary Linear Algebra,1,"A first course in linear algebra for mathematics, engineering and computer science students. Praised over many editions for its expository style and clarity of presentation, the revision of this best-selling text combines linear algebra theory with applications, and addresses a new generation of students' changing needs. . This text can be used in a first or second year 1- or 2- semester course. Calculus is not a prerequisite, but there are exercises, examples, and applications for students with calculus backgrounds; they are clearly marked and can be omitted with no loss of continuity.",Howard Anton,,2000-01-06,616,English,Unknown,2024-06-21T15:10:17-06:00,,
,A survey of modern algebra,,,Birkhoff and MacLane,Macmillan,1963,469,,,,,
,Lectures in Abstract Algebra,,,Nathan Jacobson,,1951,217,,,,,
,Lectures in Abstract Algebra - Vol II - Linear Algebra,,,Nathan Jacobson,,1953,280,,,,,
,Lectures in Abstract Algebra - Vol III - Theory of Fields and Galois Theory,,,Nathan Jacobson,,1964,323,,,,,
,On Group-Theoretic Decision Problems and their classification,,,"Charles F. Miller, III",Princeton University Press,1971,106,,,,,
,Calculus with Analytic Geometry,,,"Crowell, Slesnick",Norton and Company,1968,720,,,,39309782X (SBN),
,The addition theorems of group theory and number theory,,,Henry B. Mann,Interscience Publishers,1965,114,,,,,
,An Introduction to Probability and Statistics,,,"Rohatgi, Ehsanes Saleh",Wiley,2001,716,,,,00-026288,
,General Topology,,,Stephen Willard,Addison-Wesley,1970,369,,,,74-100890 (Congress),
,MATH 227 Notes (handwritten),from Kuttler's Class,,,,,,,,,,Yes
