ISBN,Title,Quantity,Description,Authors,Publisher,Published,Pages,Language,Location,Date,,
471631701,Linear Algebra and Matrix Theory,1,,Evar D. Nering,,1970-01-01,352,English,Unknown,2024-06-24T13:12:04-06:00,,
9780387901909,Linear Representations of Finite Groups,1,"This book consists of three parts, rather different in level and purpose. The first part was originally written for quantum chemists. It describes the correspondence, due to Frobenius, between linear representations and characters. The second part is a course given in 1966 to second-year students of l’Ecole Normale. It completes in a certain sense the first part. The third part is an introduction to Brauer Theory.",Jean-Pierre Serre,Springer,1996-11-01,172,English,Unknown,2024-06-24T13:14:41-06:00,,
9780073535630,The Logic Book,1,"This leading text for symbolic or formal logic courses presents all techniques and concepts with clear, comprehensive explanations, and includes a wealth of carefully constructed examples. Its flexible organization (with all chapters complete and self-contained) allows instructors the freedom to cover the topics they want in the order they choose.","Merrie Bergmann, James Moor, Jack Nelson",McGraw-Hill Humanities/Social Sciences/Languages,2008-07-30,,English,Unknown,2024-06-24T13:14:54-06:00,,
9780199846313,Logic,1,"Baronett brings vivid writing, real-world examples, and a choice of practical applied chapters to a course known for formal reasoning, to bridge the connections to student lives and future careers. This comprehensive introduction to logic and critical reasoning shows how logic is relevant in everyday life, demonstrating the applications of logic in, among other places, the workplace, media and entertainment, politics, science and technology, and student life. The real-world examples and exercises are oriented to the interests and experiences of students, and the explanations of difficult concepts are exceptionally clear and engaging.",Stan Baronett,OUP USA,2012-10-01,,English,Unknown,2024-06-24T13:15:04-06:00,,
9780071791236,The Official Guide to the Gre Revised General Test,1,,Educational Testing Service,McGraw Hill Professional,2012-01-01,581,English,Unknown,2024-06-24T13:15:12-06:00,,
,Putnam Competition Old Exams 1938 - 1959,,,,,,,,,,,Yes
,Putnam Competition Old Exams 1960 - 1978,,,,,,,,,,,Yes
,Putnam Competition Old Exams 1980 - 1987,,,,,,,,,,,Yes
,Math 298 (Problem Solving Seminar notes),,"Winter 2021 Semester; the extremal principle, inequalities, integrals",,,,39,,,,,Yes
75525984,Math Power 11,1,,,McGraw-Hill,1999,670,,,,,
,Undergraduate Combinatorics,1,,"Solomon Golomb, Andy Liu",,2014,428,,,,,
,"Professor Scarlet's Notebook, 2nd edition",1,Intro to discrete math,"Ed Leonard, Ted Lewis, Andy Liu",,2003,153,,,,,
,Cracking the GRE Mathematics Subject Test: Chapter 5 and onwards,1,,Steven A. Leduc,Random House,,,,,,,Yes
,Cracking the GRE Mathematics Subject Test: Chapters 1-4,1,,Steven A. Leduc,Random House,,,,,,,Yes
8131531899,Calculus: Early Transcendentals,,,James Stewart,Cengage,2012,1170,,,,,
1259025764,"Elementary Number Theory, Indian Edition",1,,David M. Burton,McGraw-Hill,2012,435,,,,,
,"The Mathematical Sciences, Undergraduate Edition",1,,National Academy of Sciences,National Academy of Sciences,1968,113,,,,,
,Multivalued Differential Equations on Graphs and Applications,1,,Dieter Bothe Paderborn,,1992,102,,,,,
,Problems in Higher Mathematics,1,Translated from Russian,V. P. Minorsky,Mir Publishers,1975,395,,,,,
,Linear Algebra for Undergraduates,1,,D. C. Murdoch,Wiley,1957,239,,,,,
,"Canadian Journal of Statistics, December 2007",1,,,,2007,,,,,,
,A textbook of graph theory,1,,"R. Balakrishnan, K. Ranganathan",Spriner,2000,211,English,,,,
